,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
151,"Sleigh Ride","The Ronettes",310472,https://open.spotify.com/track/4rERoP56GEEjKmshbphPBK
152,"Anyway (feat. 2 Chainz & Gucci Mane)","Lil Baby",309534,https://open.spotify.com/track/3zxiTHxE4MxwuYf8aLQ9ax
153,Natural,"Imagine Dragons",306090,https://open.spotify.com/track/2FY7b99s15jUprqC0M5NCT
154,"Plug Walk","Rich The Kid",305166,https://open.spotify.com/track/1ZAyjvIk9YiD76yYy0TEG6
155,"Carol of the Bells","Mykola Dmytrovych Leontovych",303350,https://open.spotify.com/track/4tHqQMWSqmL6YjXwsqthDI
156,"Happy Now",Kygo,296668,https://open.spotify.com/track/14sOS5L36385FJ3OL8hew4
157,goosebumps,"Travis Scott",295694,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
158,"Section 8 (feat. Young Thug)","Lil Baby",294811,https://open.spotify.com/track/6XeZ32B9HbV6ZrU6NTR2iM
159,"100 Summers","Meek Mill",292236,https://open.spotify.com/track/3gHLXLJ9JE1oOayo3ar4E5
160,"So High","Ski Mask The Slump God",292145,https://open.spotify.com/track/3nTDO6k4R6i3FpKx0QNgJ5
161,"Look At Me!",XXXTENTACION,291025,https://open.spotify.com/track/6eYxmK9fdL4hwLnXG2zY3s
162,"Santa Claus Is Coming to Town","Michael Bublé",290685,https://open.spotify.com/track/5Ber68jZ7ytegr2UISEdb7
163,Trip,"Ella Mai",289042,https://open.spotify.com/track/6CTWathupIiDs7U4InHnDA
164,Congratulations,"Post Malone",287001,https://open.spotify.com/track/3a1lNhkSLSkpJE4MSHpDu9
165,"Wasted (feat. Lil Uzi Vert)","Juice WRLD",286570,https://open.spotify.com/track/3obgSF06ki98lYNLNq5vCB
166,"Adults Swim","Ski Mask The Slump God",285914,https://open.spotify.com/track/1Bp5LdIxR3XlprIigqp4en
167,Hallelujah,Pentatonix,283709,https://open.spotify.com/track/550rQQCGkrTzvp4SfpOPzx
168,"Have Yourself A Merry Little Christmas - ""Meet Me In St. Louis"" Original Cast Recording","Judy Garland",282748,https://open.spotify.com/track/4eqne0oIdt9GW2ubiliny0
169,"Do You Hear What I Hear?","Bing Crosby",280594,https://open.spotify.com/track/4EZUcj7c8n9pWIwHqN0DoH
170,"Woman Like Me (feat. Nicki Minaj)","Little Mix",279615,https://open.spotify.com/track/222B3aljXx6fFwKmFjuBED
171,Hope,XXXTENTACION,278953,https://open.spotify.com/track/2ZRo7axmMPeSVUvDbGkJah
172,"Here Comes Santa Claus (Right Down Santa Claus Lane) - 1947 Version","Gene Autry",275334,https://open.spotify.com/track/25leEEaz1gIpp7o21Fqyjo
173,"REEL IT IN",Aminé,275328,https://open.spotify.com/track/5qHirGR7M9tdm6C17DlzSY
174,"Merry Christmas, Happy Holidays",*NSYNC,273808,https://open.spotify.com/track/15coTBAzEN1bOeipoNDZAR
175,"Wit the Shits (W.T.S) [feat. Melii]","Meek Mill",273532,https://open.spotify.com/track/4Kdu9AlfQyu0o6r2ozCMTc
176,Lust,"Lil Skies",273507,https://open.spotify.com/track/7oJrVhiTPZGBXWPwhxjy9S
177,"Better To Lie (with Jesse & Swae Lee)","benny blanco",273167,https://open.spotify.com/track/61sqsOPon94ecMskeEXwev
178,"Joy To The World","Nat King Cole",273090,https://open.spotify.com/track/1VuAamHM7P3VQQEXYGG3Uu
179,"Cold Hearted II","Meek Mill",271356,https://open.spotify.com/track/75ld9n7watXCD0nHnE931J
180,"Christmas (Baby Please Come Home)","Mariah Carey",269912,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
181,"Reborn To Rebel","Ski Mask The Slump God",269150,https://open.spotify.com/track/6DZ9UsN80HCp3ppmzxGGTf
182,"Close Friends (Lil Baby & Gunna)","Lil Baby",267898,https://open.spotify.com/track/5nzhL67GpF9szXWg5y509A
183,"Stuck in My Ways","Meek Mill",266046,https://open.spotify.com/track/0UOF9AAyS8H9iCWmePj29w
184,HUMBLE.,"Kendrick Lamar",264091,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
185,"Love Lies (with Normani)",Khalid,263524,https://open.spotify.com/track/45Egmo7icyopuzJN0oMEdk
186,Kamikaze,"Lil Mosey",261701,https://open.spotify.com/track/1iPBD72u3nAyFEeardYuBV
187,"Te Boté - Remix","Nio Garcia",261372,https://open.spotify.com/track/3V8UKqhEK5zBkBb6d6ub8i
188,"the remedy for a broken heart (why am I so in love)",XXXTENTACION,261240,https://open.spotify.com/track/4UKCKdYiLN6IMA5ZESUTL7
189,"Save Me Pt 2 (feat. Austin Lam)","Ski Mask The Slump God",260017,https://open.spotify.com/track/5SzhkC3NGjcIq6Brs8pSj1
190,"No Friends (feat. Rylo Rodriguez)","Lil Baby",259837,https://open.spotify.com/track/6pidGCJ9El17HdXaPO0OO2
191,"My Only Wish (This Year)","Britney Spears",259787,https://open.spotify.com/track/75zwAkyhjTb6CVX9gMJSU4
192,"Mona Lisa (feat. Kendrick Lamar)","Lil Wayne",255737,https://open.spotify.com/track/0dbTQYW3Ad1FTzIA9t90E8
193,"Praise The Lord (Da Shine) (feat. Skepta)","A$AP Rocky",255173,https://open.spotify.com/track/7ycWLEP1GsNjVvcjawXz3z
194,"Mistletoe And Holly - Remastered 1999","Frank Sinatra",255093,https://open.spotify.com/track/7faDzZnZYqTyYThx2sbHVQ
195,"Baby, It's Cold Outside","Dean Martin",254989,https://open.spotify.com/track/4MrfQL4TYQXJBlZYpAHTuE
196,"FeRRis WhEEL (feat. Trippie Redd)","Tory Lanez",253849,https://open.spotify.com/track/6j97zG4DDrh3oUa6rZbFOs
197,"Nowadays (feat. Landon Cube)","Lil Skies",253810,https://open.spotify.com/track/2u7mxWSeoqTXndK5e08jMp
198,"Sweet but Psycho","Ava Max",253773,https://open.spotify.com/track/25sgk305KZfyuqVBQIahim
199,"You're A Mean One, Mr. Grinch - From Dr. Seuss' 'How The Grinch Stole Christmas'","Thurl Ravenscroft",250913,https://open.spotify.com/track/6Tof6kPUc2a17GKaKz4IXz
200,"you should see me in a crown","Billie Eilish",248956,https://open.spotify.com/track/6vsV4D8BM6PioRr1UOx0n2
